Título de trazado: MDP,,
N.º,"Fecha Tiempo, GMT-05:00","Temp, °F (LGR S/N: 20462595, SEN S/N: 20462595)"
1521,1/27/2019 2:00,73.753
1522,1/27/2019 2:30,73.58
1523,1/27/2019 3:00,73.753
1524,1/27/2019 3:30,73.58
1525,1/27/2019 4:00,73.58
1526,1/27/2019 4:30,73.58
1527,1/27/2019 5:00,73.58
1528,1/27/2019 5:30,73.407
1529,1/27/2019 6:00,73.407
1530,1/27/2019 6:30,73.407
1531,1/27/2019 7:00,73.407
1532,1/27/2019 7:30,73.407
1533,1/27/2019 8:00,73.407
1534,1/27/2019 8:30,73.58
1535,1/27/2019 9:00,73.58
1536,1/27/2019 9:30,73.753
1537,1/27/2019 10:00,73.753
1538,1/27/2019 10:30,73.926
1539,1/27/2019 11:00,74.271
1540,1/27/2019 11:30,74.271
1541,1/27/2019 12:00,74.446
1542,1/27/2019 12:30,74.446
1543,1/27/2019 13:00,74.791
1544,1/27/2019 13:30,74.446
1545,1/27/2019 14:00,74.791
1546,1/27/2019 14:30,74.791
1547,1/27/2019 15:00,74.964
1548,1/27/2019 15:30,74.964
1549,1/27/2019 16:00,74.964
1550,1/27/2019 16:30,75.139
1551,1/27/2019 17:00,75.139
1552,1/27/2019 17:30,74.964
1553,1/27/2019 18:00,74.964
1554,1/27/2019 18:30,74.791
1555,1/27/2019 19:00,74.791
1556,1/27/2019 19:30,74.791
1557,1/27/2019 20:00,74.619
1558,1/27/2019 20:30,74.619
1559,1/27/2019 21:00,74.619
1560,1/27/2019 21:30,74.446
1561,1/27/2019 22:00,74.446
1562,1/27/2019 22:30,74.446
1563,1/27/2019 23:00,74.446
1564,1/27/2019 23:30,74.271
1565,1/28/2019 0:00,74.271
1566,1/28/2019 0:30,74.271
1567,1/28/2019 1:00,74.271
1568,1/28/2019 1:30,74.271
1569,1/28/2019 2:00,74.271
1570,1/28/2019 2:30,74.271
1571,1/28/2019 3:00,74.271
1572,1/28/2019 3:30,74.271
1573,1/28/2019 4:00,74.098
1574,1/28/2019 4:30,74.098
1575,1/28/2019 5:00,74.098
1576,1/28/2019 5:30,74.098
1577,1/28/2019 6:00,74.098
1578,1/28/2019 6:30,74.271
1579,1/28/2019 7:00,74.446
1580,1/28/2019 7:30,74.446
1581,1/28/2019 8:00,74.964
1582,1/28/2019 8:30,74.964
1583,1/28/2019 9:00,75.484
1584,1/28/2019 9:30,76.006
1585,1/28/2019 10:00,75.659
1586,1/28/2019 10:30,75.659
1587,1/28/2019 11:00,75.659
1588,1/28/2019 11:30,76.528
1589,1/28/2019 12:00,76.006
1590,1/28/2019 12:30,76.181
1591,1/28/2019 13:00,76.354
1592,1/28/2019 13:30,75.832
1593,1/28/2019 14:00,76.181
1594,1/28/2019 14:30,76.528
1595,1/28/2019 15:00,76.354
1596,1/28/2019 15:30,76.528
1597,1/28/2019 16:00,76.354
1598,1/28/2019 16:30,76.703
1599,1/28/2019 17:00,76.528
1600,1/28/2019 17:30,77.225
1601,1/28/2019 18:00,76.703
1602,1/28/2019 18:30,76.703
1603,1/28/2019 19:00,76.876
1604,1/28/2019 19:30,76.703
1605,1/28/2019 20:00,76.528
1606,1/28/2019 20:30,76.354
1607,1/28/2019 21:00,76.181
1608,1/28/2019 21:30,76.181
1609,1/28/2019 22:00,76.006
1610,1/28/2019 22:30,75.832
1611,1/28/2019 23:00,75.832
1612,1/28/2019 23:30,75.659
1613,1/29/2019 0:00,75.832
1614,1/29/2019 0:30,75.832
1615,1/29/2019 1:00,76.006
1616,1/29/2019 1:30,76.006
1617,1/29/2019 2:00,75.832
1618,1/29/2019 2:30,75.832
1619,1/29/2019 3:00,75.832
1620,1/29/2019 3:30,75.832
1621,1/29/2019 4:00,75.659
1622,1/29/2019 4:30,75.484
1623,1/29/2019 5:00,75.659
1624,1/29/2019 5:30,75.312
1625,1/29/2019 6:00,75.659
1626,1/29/2019 6:30,75.659
1627,1/29/2019 7:00,75.484
1628,1/29/2019 7:30,75.659
1629,1/29/2019 8:00,75.832
1630,1/29/2019 8:30,76.354
1631,1/29/2019 9:00,76.703
1632,1/29/2019 9:30,77.225
1633,1/29/2019 10:00,76.528
1634,1/29/2019 10:30,77.4
1635,1/29/2019 11:00,76.703
1636,1/29/2019 11:30,76.528
1637,1/29/2019 12:00,76.876
1638,1/29/2019 12:30,77.4
1639,1/29/2019 13:00,77.05
1640,1/29/2019 13:30,76.876
1641,1/29/2019 14:00,76.876
1642,1/29/2019 14:30,76.181
1643,1/29/2019 15:00,76.876
1644,1/29/2019 15:30,76.876
1645,1/29/2019 16:00,76.354
1646,1/29/2019 16:30,76.876
1647,1/29/2019 17:00,76.703
1648,1/29/2019 17:30,77.225
1649,1/29/2019 18:00,77.4
1650,1/29/2019 18:30,77.05
1651,1/29/2019 19:00,76.876
1652,1/29/2019 19:30,77.05
1653,1/29/2019 20:00,76.528
1654,1/29/2019 20:30,76.181
1655,1/29/2019 21:00,76.006
1656,1/29/2019 21:30,75.832
1657,1/29/2019 22:00,75.832
1658,1/29/2019 22:30,75.484
1659,1/29/2019 23:00,75.484
1660,1/29/2019 23:30,75.312
1661,1/30/2019 0:00,75.484
1662,1/30/2019 0:30,75.484
1663,1/30/2019 1:00,75.312
1664,1/30/2019 1:30,75.312
1665,1/30/2019 2:00,75.312
1666,1/30/2019 2:30,75.139
1667,1/30/2019 3:00,75.139
1668,1/30/2019 3:30,75.139
1669,1/30/2019 4:00,74.964
1670,1/30/2019 4:30,74.964
1671,1/30/2019 5:00,74.964
1672,1/30/2019 5:30,74.791
1673,1/30/2019 6:00,74.619
1674,1/30/2019 6:30,74.619
1675,1/30/2019 7:00,74.791
1676,1/30/2019 7:30,74.791
1677,1/30/2019 8:00,74.791
1678,1/30/2019 8:30,74.964
1679,1/30/2019 9:00,75.139
1680,1/30/2019 9:30,75.312
1681,1/30/2019 10:00,75.484
1682,1/30/2019 10:30,75.659
1683,1/30/2019 11:00,75.832
1684,1/30/2019 11:30,76.006
1685,1/30/2019 12:00,76.006
1686,1/30/2019 12:30,76.181
1687,1/30/2019 13:00,75.832
1688,1/30/2019 13:30,76.181
1689,1/30/2019 14:00,76.006
1690,1/30/2019 14:30,76.354
1691,1/30/2019 15:00,76.528
1692,1/30/2019 15:30,76.354
1693,1/30/2019 16:00,76.528
1694,1/30/2019 16:30,76.354
1695,1/30/2019 17:00,76.181
1696,1/30/2019 17:30,76.181
1697,1/30/2019 18:00,76.006
1698,1/30/2019 18:30,75.832
1699,1/30/2019 19:00,75.832
1700,1/30/2019 19:30,75.659
1701,1/30/2019 20:00,75.484
1702,1/30/2019 20:30,75.312
1703,1/30/2019 21:00,75.139
1704,1/30/2019 21:30,74.964
1705,1/30/2019 22:00,74.964
1706,1/30/2019 22:30,74.791
1707,1/30/2019 23:00,74.619
1708,1/30/2019 23:30,74.446
1709,1/31/2019 0:00,74.271
1710,1/31/2019 0:30,74.271
1711,1/31/2019 1:00,74.098
1712,1/31/2019 1:30,73.926
1713,1/31/2019 2:00,73.926
1714,1/31/2019 2:30,73.753
1715,1/31/2019 3:00,73.753
1716,1/31/2019 3:30,73.58
1717,1/31/2019 4:00,73.58
1718,1/31/2019 4:30,73.407
1719,1/31/2019 5:00,73.234
1720,1/31/2019 5:30,73.234
1721,1/31/2019 6:00,73.234
1722,1/31/2019 6:30,73.234
1723,1/31/2019 7:00,73.407
1724,1/31/2019 7:30,73.234
1725,1/31/2019 8:00,73.062
1726,1/31/2019 8:30,73.234
1727,1/31/2019 9:00,73.234
1728,1/31/2019 9:30,73.234
1729,1/31/2019 10:00,73.407
1730,1/31/2019 10:30,73.58
1731,1/31/2019 11:00,74.098
1732,1/31/2019 11:30,74.098
1733,1/31/2019 12:00,74.098
1734,1/31/2019 12:30,74.098
1735,1/31/2019 13:00,74.271
1736,1/31/2019 13:30,74.619
1737,1/31/2019 14:00,74.791
1738,1/31/2019 14:30,74.446
1739,1/31/2019 15:00,74.619
1740,1/31/2019 15:30,74.098
1741,1/31/2019 16:00,74.098
1742,1/31/2019 16:30,73.753
1743,1/31/2019 17:00,73.926
1744,1/31/2019 17:30,73.753
1745,1/31/2019 18:00,73.753
1746,1/31/2019 18:30,73.58
1747,1/31/2019 19:00,73.58
1748,1/31/2019 19:30,73.58
1749,1/31/2019 20:00,73.407
1750,1/31/2019 20:30,73.234
1751,1/31/2019 21:00,73.234
1752,1/31/2019 21:30,73.062
1753,1/31/2019 22:00,73.062
1754,1/31/2019 22:30,72.891
1755,1/31/2019 23:00,72.891
1756,1/31/2019 23:30,72.891
1757,2/1/2019 0:00,72.891
1758,2/1/2019 0:30,72.891
1759,2/1/2019 1:00,72.718
1760,2/1/2019 1:30,72.718
1761,2/1/2019 2:00,72.718
1762,2/1/2019 2:30,72.718
1763,2/1/2019 3:00,72.718
1764,2/1/2019 3:30,72.545
1765,2/1/2019 4:00,72.545
1766,2/1/2019 4:30,72.545
1767,2/1/2019 5:00,72.545
1768,2/1/2019 5:30,72.545
1769,2/1/2019 6:00,72.545
1770,2/1/2019 6:30,72.718
1771,2/1/2019 7:00,72.718
1772,2/1/2019 7:30,72.718
1773,2/1/2019 8:00,72.718
1774,2/1/2019 8:30,73.062
1775,2/1/2019 9:00,73.062
1776,2/1/2019 9:30,73.234
1777,2/1/2019 10:00,73.58
1778,2/1/2019 10:30,73.753
1779,2/1/2019 11:00,73.926
1780,2/1/2019 11:30,74.098
1781,2/1/2019 12:00,74.446
1782,2/1/2019 12:30,74.619
1783,2/1/2019 13:00,74.791
1784,2/1/2019 13:30,74.964
1785,2/1/2019 14:00,75.312
1786,2/1/2019 14:30,75.312
1787,2/1/2019 15:00,75.312
1788,2/1/2019 15:30,75.312
1789,2/1/2019 16:00,75.484
1790,2/1/2019 16:30,75.484
1791,2/1/2019 17:00,75.484
1792,2/1/2019 17:30,75.484
1793,2/1/2019 18:00,75.139
1794,2/1/2019 18:30,75.139
1795,2/1/2019 19:00,75.139
1796,2/1/2019 19:30,74.964
1797,2/1/2019 20:00,74.964
1798,2/1/2019 20:30,74.791
1799,2/1/2019 21:00,74.791
1800,2/1/2019 21:30,74.791
1801,2/1/2019 22:00,74.446
1802,2/1/2019 22:30,74.271
1803,2/1/2019 23:00,74.446
1804,2/1/2019 23:30,74.446
1805,2/2/2019 0:00,74.098
1806,2/2/2019 0:30,74.098
1807,2/2/2019 1:00,74.098
1808,2/2/2019 1:30,73.753
1809,2/2/2019 2:00,73.926
1810,2/2/2019 2:30,73.926
1811,2/2/2019 3:00,73.753
1812,2/2/2019 3:30,73.58
1813,2/2/2019 4:00,73.58
1814,2/2/2019 4:30,73.407
1815,2/2/2019 5:00,73.407
1816,2/2/2019 5:30,73.234
1817,2/2/2019 6:00,73.234
1818,2/2/2019 6:30,73.234
1819,2/2/2019 7:00,73.062
1820,2/2/2019 7:30,73.062
1821,2/2/2019 8:00,73.062
1822,2/2/2019 8:30,73.062
1823,2/2/2019 9:00,73.062
1824,2/2/2019 9:30,73.234
1825,2/2/2019 10:00,73.407
1826,2/2/2019 10:30,73.407
1827,2/2/2019 11:00,73.407
1828,2/2/2019 11:30,73.58
1829,2/2/2019 12:00,73.58
1830,2/2/2019 12:30,73.753
1831,2/2/2019 13:00,73.753
1832,2/2/2019 13:30,73.753
1833,2/2/2019 14:00,73.926
1834,2/2/2019 14:30,73.926
1835,2/2/2019 15:00,73.926
1836,2/2/2019 15:30,73.753
1837,2/2/2019 16:00,73.753
1838,2/2/2019 16:30,73.753
1839,2/2/2019 17:00,73.58
1840,2/2/2019 17:30,73.407
1841,2/2/2019 18:00,73.407
1842,2/2/2019 18:30,73.234
1843,2/2/2019 19:00,73.234
1844,2/2/2019 19:30,73.062
1845,2/2/2019 20:00,73.062
1846,2/2/2019 20:30,72.891
1847,2/2/2019 21:00,72.718
1848,2/2/2019 21:30,72.545
1849,2/2/2019 22:00,72.372
1850,2/2/2019 22:30,72.372
1851,2/2/2019 23:00,72.199
1852,2/2/2019 23:30,72.199
1853,2/3/2019 0:00,72.028
1854,2/3/2019 0:30,71.856
1855,2/3/2019 1:00,71.683
1856,2/3/2019 1:30,71.683
1857,2/3/2019 2:00,71.683
1858,2/3/2019 2:30,71.683
1859,2/3/2019 3:00,71.168
1860,2/3/2019 3:30,71.339
1861,2/3/2019 4:00,71.339
1862,2/3/2019 4:30,71.683
1863,2/3/2019 5:00,71.512
1864,2/3/2019 5:30,71.683
1865,2/3/2019 6:00,71.339
1866,2/3/2019 6:30,71.339
1867,2/3/2019 7:00,71.512
1868,2/3/2019 7:30,71.683
1869,2/3/2019 8:00,71.683
1870,2/3/2019 8:30,71.683
1871,2/3/2019 9:00,71.856
1872,2/3/2019 9:30,71.856
1873,2/3/2019 10:00,72.199
1874,2/3/2019 10:30,72.372
1875,2/3/2019 11:00,72.545
1876,2/3/2019 11:30,72.545
1877,2/3/2019 12:00,72.891
1878,2/3/2019 12:30,73.234
1879,2/3/2019 13:00,73.234
1880,2/3/2019 13:30,73.58
1881,2/3/2019 14:00,73.753
1882,2/3/2019 14:30,73.58
1883,2/3/2019 15:00,73.753
1884,2/3/2019 15:30,73.926
1885,2/3/2019 16:00,73.926
1886,2/3/2019 16:30,73.926
1887,2/3/2019 17:00,73.753
1888,2/3/2019 17:30,73.58
1889,2/3/2019 18:00,73.58
1890,2/3/2019 18:30,73.407
1891,2/3/2019 19:00,73.234
1892,2/3/2019 19:30,73.234
1893,2/3/2019 20:00,73.234
1894,2/3/2019 20:30,73.062
1895,2/3/2019 21:00,72.718
1896,2/3/2019 21:30,72.545
1897,2/3/2019 22:00,72.545
1898,2/3/2019 22:30,72.718
1899,2/3/2019 23:00,72.718
1900,2/3/2019 23:30,72.891
1901,2/4/2019 0:00,73.062
1902,2/4/2019 0:30,72.891
1903,2/4/2019 1:00,72.372
1904,2/4/2019 1:30,72.545
1905,2/4/2019 2:00,72.545
1906,2/4/2019 2:30,71.683
1907,2/4/2019 3:00,71.339
1908,2/4/2019 3:30,71.339
1909,2/4/2019 4:00,71.683
1910,2/4/2019 4:30,71.512
1911,2/4/2019 5:00,71.339
1912,2/4/2019 5:30,71.339
1913,2/4/2019 6:00,71.512
1914,2/4/2019 6:30,71.512
1915,2/4/2019 7:00,71.683
1916,2/4/2019 7:30,72.028
1917,2/4/2019 8:00,71.856
1918,2/4/2019 8:30,72.199
1919,2/4/2019 9:00,72.199
1920,2/4/2019 9:30,72.545
1921,2/4/2019 10:00,72.372
1922,2/4/2019 10:30,72.372
1923,2/4/2019 11:00,72.545
1924,2/4/2019 11:30,72.718
1925,2/4/2019 12:00,72.891
1926,2/4/2019 12:30,73.234
1927,2/4/2019 13:00,73.407
1928,2/4/2019 13:30,73.753
1929,2/4/2019 14:00,73.58
1930,2/4/2019 14:30,73.753
1931,2/4/2019 15:00,73.926
1932,2/4/2019 15:30,74.271
1933,2/4/2019 16:00,74.446
1934,2/4/2019 16:30,74.271
1935,2/4/2019 17:00,74.446
1936,2/4/2019 17:30,74.446
1937,2/4/2019 18:00,74.271
1938,2/4/2019 18:30,74.271
1939,2/4/2019 19:00,74.098
1940,2/4/2019 19:30,73.926
1941,2/4/2019 20:00,73.753
1942,2/4/2019 20:30,73.753
1943,2/4/2019 21:00,73.926
1944,2/4/2019 21:30,73.58
1945,2/4/2019 22:00,73.753
1946,2/4/2019 22:30,73.407
1947,2/4/2019 23:00,73.407
1948,2/4/2019 23:30,73.58
1949,2/5/2019 0:00,73.58
1950,2/5/2019 0:30,73.753
1951,2/5/2019 1:00,73.58
1952,2/5/2019 1:30,73.58
1953,2/5/2019 2:00,72.891
1954,2/5/2019 2:30,73.062
1955,2/5/2019 3:00,72.199
1956,2/5/2019 3:30,72.199
1957,2/5/2019 4:00,72.199
1958,2/5/2019 4:30,72.199
1959,2/5/2019 5:00,72.199
1960,2/5/2019 5:30,72.028
1961,2/5/2019 6:00,72.199
1962,2/5/2019 6:30,72.545
1963,2/5/2019 7:00,72.718
1964,2/5/2019 7:30,72.718
1965,2/5/2019 8:00,72.718
1966,2/5/2019 8:30,72.545
1967,2/5/2019 9:00,72.891
1968,2/5/2019 9:30,72.891
1969,2/5/2019 10:00,73.062
1970,2/5/2019 10:30,73.062
1971,2/5/2019 11:00,73.062
1972,2/5/2019 11:30,73.58
1973,2/5/2019 12:00,73.58
1974,2/5/2019 12:30,73.753
1975,2/5/2019 13:00,74.098
1976,2/5/2019 13:30,74.098
1977,2/5/2019 14:00,74.271
1978,2/5/2019 14:30,74.446
1979,2/5/2019 15:00,74.271
1980,2/5/2019 15:30,74.791
1981,2/5/2019 16:00,74.619
1982,2/5/2019 16:30,74.791
1983,2/5/2019 17:00,74.791
1984,2/5/2019 17:30,74.619
1985,2/5/2019 18:00,74.619
1986,2/5/2019 18:30,74.446
1987,2/5/2019 19:00,74.446
1988,2/5/2019 19:30,74.446
1989,2/5/2019 20:00,74.271
1990,2/5/2019 20:30,74.098
1991,2/5/2019 21:00,73.926
1992,2/5/2019 21:30,73.926
1993,2/5/2019 22:00,73.753
1994,2/5/2019 22:30,73.58
1995,2/5/2019 23:00,73.58
1996,2/5/2019 23:30,73.234
1997,2/6/2019 0:00,73.407
1998,2/6/2019 0:30,73.407
1999,2/6/2019 1:00,73.234
2000,2/6/2019 1:30,73.062
2001,2/6/2019 2:00,72.891
2002,2/6/2019 2:30,72.891
2003,2/6/2019 3:00,72.891
2004,2/6/2019 3:30,72.545
2005,2/6/2019 4:00,72.545
2006,2/6/2019 4:30,72.545
2007,2/6/2019 5:00,72.545
2008,2/6/2019 5:30,72.545
2009,2/6/2019 6:00,72.545
2010,2/6/2019 6:30,72.545
2011,2/6/2019 7:00,72.718
2012,2/6/2019 7:30,72.718
2013,2/6/2019 8:00,73.062
2014,2/6/2019 8:30,73.234
2015,2/6/2019 9:00,73.407
2016,2/6/2019 9:30,73.407
2017,2/6/2019 10:00,73.58
2018,2/6/2019 10:30,73.926
2019,2/6/2019 11:00,73.926
2020,2/6/2019 11:30,74.098
2021,2/6/2019 12:00,73.926
2022,2/6/2019 12:30,74.446
2023,2/6/2019 13:00,74.446
2024,2/6/2019 13:30,74.619
2025,2/6/2019 14:00,74.791
2026,2/6/2019 14:30,74.619
2027,2/6/2019 15:00,74.446
2028,2/6/2019 15:30,74.619
2029,2/6/2019 16:00,74.791
2030,2/6/2019 16:30,75.139
2031,2/6/2019 17:00,74.791
2032,2/6/2019 17:30,74.964
2033,2/6/2019 18:00,74.964
2034,2/6/2019 18:30,74.964
2035,2/6/2019 19:00,74.619
2036,2/6/2019 19:30,74.619
2037,2/6/2019 20:00,74.619
2038,2/6/2019 20:30,74.446
2039,2/6/2019 21:00,74.271
2040,2/6/2019 21:30,74.271
2041,2/6/2019 22:00,74.098
2042,2/6/2019 22:30,74.098
2043,2/6/2019 23:00,74.098
2044,2/6/2019 23:30,73.926
2045,2/7/2019 0:00,73.926
2046,2/7/2019 0:30,73.926
2047,2/7/2019 1:00,73.753
2048,2/7/2019 1:30,73.753
2049,2/7/2019 2:00,73.58
2050,2/7/2019 2:30,73.58
2051,2/7/2019 3:00,73.58
2052,2/7/2019 3:30,73.407
2053,2/7/2019 4:00,73.58
2054,2/7/2019 4:30,73.407
2055,2/7/2019 5:00,73.407
2056,2/7/2019 5:30,73.407
2057,2/7/2019 6:00,73.407
2058,2/7/2019 6:30,73.753
2059,2/7/2019 7:00,73.753
2060,2/7/2019 7:30,73.926
2061,2/7/2019 8:00,73.926
2062,2/7/2019 8:30,73.926
2063,2/7/2019 9:00,74.098
2064,2/7/2019 9:30,73.926
2065,2/7/2019 10:00,74.446
2066,2/7/2019 10:30,74.964
2067,2/7/2019 11:00,74.446
2068,2/7/2019 11:30,74.964
2069,2/7/2019 12:00,74.791
2070,2/7/2019 12:30,74.619
2071,2/7/2019 13:00,74.964
2072,2/7/2019 13:30,74.791
2073,2/7/2019 14:00,74.791
2074,2/7/2019 14:30,74.791
2075,2/7/2019 15:00,74.619
2076,2/7/2019 15:30,74.619
2077,2/7/2019 16:00,74.791
2078,2/7/2019 16:30,74.791
2079,2/7/2019 17:00,74.619
2080,2/7/2019 17:30,74.791
2081,2/7/2019 18:00,74.791
2082,2/7/2019 18:30,74.791
2083,2/7/2019 19:00,74.619
2084,2/7/2019 19:30,74.791
2085,2/7/2019 20:00,74.619
2086,2/7/2019 20:30,74.619
2087,2/7/2019 21:00,74.619
2088,2/7/2019 21:30,74.446
2089,2/7/2019 22:00,74.446
2090,2/7/2019 22:30,74.446
2091,2/7/2019 23:00,74.446
2092,2/7/2019 23:30,74.446
2093,2/8/2019 0:00,74.271
2094,2/8/2019 0:30,74.271
2095,2/8/2019 1:00,74.271
2096,2/8/2019 1:30,74.098
2097,2/8/2019 2:00,74.098
2098,2/8/2019 2:30,74.098
2099,2/8/2019 3:00,73.926
2100,2/8/2019 3:30,74.098
2101,2/8/2019 4:00,73.926
2102,2/8/2019 4:30,73.926
2103,2/8/2019 5:00,73.926
2104,2/8/2019 5:30,73.926
2105,2/8/2019 6:00,73.926
2106,2/8/2019 6:30,73.926
2107,2/8/2019 7:00,73.753
2108,2/8/2019 7:30,73.753
2109,2/8/2019 8:00,73.753
2110,2/8/2019 8:30,73.753
2111,2/8/2019 9:00,73.926
2112,2/8/2019 9:30,73.753
2113,2/8/2019 10:00,73.926
2114,2/8/2019 10:30,73.926
2115,2/8/2019 11:00,73.926
2116,2/8/2019 11:30,73.926
2117,2/8/2019 12:00,74.271
2118,2/8/2019 12:30,74.271
2119,2/8/2019 13:00,74.271
2120,2/8/2019 13:30,74.271
2121,2/8/2019 14:00,74.446
2122,2/8/2019 14:30,74.619
2123,2/8/2019 15:00,74.619
2124,2/8/2019 15:30,74.619
2125,2/8/2019 16:00,74.619
2126,2/8/2019 16:30,74.446
2127,2/8/2019 17:00,74.446
2128,2/8/2019 17:30,74.271
2129,2/8/2019 18:00,74.098
2130,2/8/2019 18:30,74.098
2131,2/8/2019 19:00,73.926
2132,2/8/2019 19:30,73.753
2133,2/8/2019 20:00,74.098
2134,2/8/2019 20:30,73.926
2135,2/8/2019 21:00,73.58
2136,2/8/2019 21:30,73.407
2137,2/8/2019 22:00,73.234
2138,2/8/2019 22:30,73.407
2139,2/8/2019 23:00,73.062
2140,2/8/2019 23:30,73.234
2141,2/9/2019 0:00,73.062
2142,2/9/2019 0:30,72.891
2143,2/9/2019 1:00,72.891
2144,2/9/2019 1:30,72.718
2145,2/9/2019 2:00,72.891
2146,2/9/2019 2:30,72.718
2147,2/9/2019 3:00,72.718
2148,2/9/2019 3:30,72.718
2149,2/9/2019 4:00,72.718
2150,2/9/2019 4:30,72.372
2151,2/9/2019 5:00,72.372
2152,2/9/2019 5:30,72.372
2153,2/9/2019 6:00,72.372
2154,2/9/2019 6:30,72.372
2155,2/9/2019 7:00,72.545
2156,2/9/2019 7:30,72.545
2157,2/9/2019 8:00,72.718
2158,2/9/2019 8:30,72.718
2159,2/9/2019 9:00,73.062
2160,2/9/2019 9:30,73.234
2161,2/9/2019 10:00,73.58
2162,2/9/2019 10:30,73.926
2163,2/9/2019 11:00,74.098
2164,2/9/2019 11:30,73.407
2165,2/9/2019 12:00,73.926
2166,2/9/2019 12:30,74.271
2167,2/9/2019 13:00,74.446
2168,2/9/2019 13:30,74.098
2169,2/9/2019 14:00,74.446
2170,2/9/2019 14:30,74.446
2171,2/9/2019 15:00,74.446
2172,2/9/2019 15:30,74.446
2173,2/9/2019 16:00,74.446
2174,2/9/2019 16:30,74.619
2175,2/9/2019 17:00,74.446
2176,2/9/2019 17:30,74.446
2177,2/9/2019 18:00,74.271
2178,2/9/2019 18:30,74.271
2179,2/9/2019 19:00,74.098
2180,2/9/2019 19:30,74.098
2181,2/9/2019 20:00,73.926
2182,2/9/2019 20:30,73.926
2183,2/9/2019 21:00,73.926
2184,2/9/2019 21:30,73.926
2185,2/9/2019 22:00,73.753
2186,2/9/2019 22:30,73.58
2187,2/9/2019 23:00,73.58
2188,2/9/2019 23:30,73.58
2189,2/10/2019 0:00,73.753
2190,2/10/2019 0:30,73.58
