Título de trazado: La Paz,,
N.º,"Fecha Tiempo, GMT-04:00","Temp, °C (LGR S/N: 20355576, SEN S/N: 20355576)"
1014,6/22/2018 11:30,24.641
1015,6/22/2018 12:00,24.738
1016,6/22/2018 12:30,24.641
1017,6/22/2018 13:00,24.738
1018,6/22/2018 13:30,24.835
1019,6/22/2018 14:00,25.028
1020,6/22/2018 14:30,25.319
1021,6/22/2018 15:00,24.931
1022,6/22/2018 15:30,25.222
1023,6/22/2018 16:00,25.222
1024,6/22/2018 16:30,24.835
1025,6/22/2018 17:00,25.416
1026,6/22/2018 17:30,25.61
1027,6/22/2018 18:00,25.416
1028,6/22/2018 18:30,25.513
1029,6/22/2018 19:00,24.835
1030,6/22/2018 19:30,24.545
1031,6/22/2018 20:00,25.125
1032,6/22/2018 20:30,25.125
1033,6/22/2018 21:00,25.319
1034,6/22/2018 21:30,25.222
1035,6/22/2018 22:00,25.125
1036,6/22/2018 22:30,24.641
1037,6/22/2018 23:00,24.641
1038,6/22/2018 23:30,24.738
1039,6/23/2018 0:00,24.738
1040,6/23/2018 0:30,24.641
1041,6/23/2018 1:00,24.835
1042,6/23/2018 1:30,24.835
1043,6/23/2018 2:00,24.641
1044,6/23/2018 2:30,24.738
1045,6/23/2018 3:00,24.545
1046,6/23/2018 3:30,24.545
1047,6/23/2018 4:00,24.641
1048,6/23/2018 4:30,24.545
1049,6/23/2018 5:00,24.545
1050,6/23/2018 5:30,24.545
1051,6/23/2018 6:00,24.448
1052,6/23/2018 6:30,24.351
1053,6/23/2018 7:00,24.255
1054,6/23/2018 7:30,24.255
1055,6/23/2018 8:00,24.255
1056,6/23/2018 8:30,24.255
1057,6/23/2018 9:00,24.158
1058,6/23/2018 9:30,24.158
1059,6/23/2018 10:00,24.062
1060,6/23/2018 10:30,24.062
1061,6/23/2018 11:00,24.158
1062,6/23/2018 11:30,24.255
1063,6/23/2018 12:00,24.255
1064,6/23/2018 12:30,24.351
1065,6/23/2018 13:00,24.448
1066,6/23/2018 13:30,24.448
1067,6/23/2018 14:00,24.641
1068,6/23/2018 14:30,24.738
1069,6/23/2018 15:00,24.738
1070,6/23/2018 15:30,24.931
1071,6/23/2018 16:00,25.028
1072,6/23/2018 16:30,24.931
1073,6/23/2018 17:00,24.931
1074,6/23/2018 17:30,25.028
1075,6/23/2018 18:00,24.931
1076,6/23/2018 18:30,24.931
1077,6/23/2018 19:00,24.931
1078,6/23/2018 19:30,24.835
1079,6/23/2018 20:00,24.931
1080,6/23/2018 20:30,24.545
1081,6/23/2018 21:00,24.835
1082,6/23/2018 21:30,25.125
1083,6/23/2018 22:00,24.835
1084,6/23/2018 22:30,24.931
1085,6/23/2018 23:00,24.641
1086,6/23/2018 23:30,24.835
1087,6/24/2018 0:00,24.931
1088,6/24/2018 0:30,24.738
1089,6/24/2018 1:00,24.545
1090,6/24/2018 1:30,24.641
1091,6/24/2018 2:00,24.448
1092,6/24/2018 2:30,24.448
1093,6/24/2018 3:00,24.351
1094,6/24/2018 3:30,24.448
1095,6/24/2018 4:00,24.448
1096,6/24/2018 4:30,24.351
1097,6/24/2018 5:00,24.448
1098,6/24/2018 5:30,24.351
1099,6/24/2018 6:00,24.351
1100,6/24/2018 6:30,24.255
1101,6/24/2018 7:00,24.158
1102,6/24/2018 7:30,24.158
1103,6/24/2018 8:00,24.158
1104,6/24/2018 8:30,24.062
1105,6/24/2018 9:00,24.062
1106,6/24/2018 9:30,23.966
1107,6/24/2018 10:00,23.966
1108,6/24/2018 10:30,24.062
1109,6/24/2018 11:00,24.062
1110,6/24/2018 11:30,24.158
1111,6/24/2018 12:00,24.158
1112,6/24/2018 12:30,24.158
1113,6/24/2018 13:00,24.255
1114,6/24/2018 13:30,24.351
1115,6/24/2018 14:00,24.448
1116,6/24/2018 14:30,24.545
1117,6/24/2018 15:00,24.641
1118,6/24/2018 15:30,24.641
1119,6/24/2018 16:00,24.738
1120,6/24/2018 16:30,24.835
1121,6/24/2018 17:00,24.931
1122,6/24/2018 17:30,25.416
1123,6/24/2018 18:00,25.513
1124,6/24/2018 18:30,24.835
1125,6/24/2018 19:00,25.028
1126,6/24/2018 19:30,24.641
1127,6/24/2018 20:00,24.545
1128,6/24/2018 20:30,24.545
1129,6/24/2018 21:00,25.319
1130,6/24/2018 21:30,25.513
1131,6/24/2018 22:00,25.513
1132,6/24/2018 22:30,25.222
1133,6/24/2018 23:00,25.319
1134,6/24/2018 23:30,25.028
1135,6/25/2018 0:00,25.125
1136,6/25/2018 0:30,25.222
1137,6/25/2018 1:00,25.125
1138,6/25/2018 1:30,25.125
1139,6/25/2018 2:00,25.028
1140,6/25/2018 2:30,25.028
1141,6/25/2018 3:00,24.931
1142,6/25/2018 3:30,24.931
1143,6/25/2018 4:00,24.835
1144,6/25/2018 4:30,24.738
1145,6/25/2018 5:00,24.738
1146,6/25/2018 5:30,24.641
1147,6/25/2018 6:00,24.641
1148,6/25/2018 6:30,24.545
1149,6/25/2018 7:00,24.448
1150,6/25/2018 7:30,24.351
1151,6/25/2018 8:00,24.158
1152,6/25/2018 8:30,24.158
1153,6/25/2018 9:00,24.255
1154,6/25/2018 9:30,23.966
1155,6/25/2018 10:00,24.062
1156,6/25/2018 10:30,24.062
1157,6/25/2018 11:00,24.062
1158,6/25/2018 11:30,24.158
1159,6/25/2018 12:00,24.255
1160,6/25/2018 12:30,24.255
1161,6/25/2018 13:00,24.351
1162,6/25/2018 13:30,24.545
1163,6/25/2018 14:00,24.448
1164,6/25/2018 14:30,24.641
1165,6/25/2018 15:00,24.738
1166,6/25/2018 15:30,24.738
1167,6/25/2018 16:00,24.738
1168,6/25/2018 16:30,24.835
1169,6/25/2018 17:00,24.931
1170,6/25/2018 17:30,25.028
1171,6/25/2018 18:00,25.222
1172,6/25/2018 18:30,25.319
1173,6/25/2018 19:00,25.319
1174,6/25/2018 19:30,25.125
1175,6/25/2018 20:00,25.125
1176,6/25/2018 20:30,24.738
1177,6/25/2018 21:00,24.641
1178,6/25/2018 21:30,24.545
1179,6/25/2018 22:00,24.448
1180,6/25/2018 22:30,24.835
1181,6/25/2018 23:00,24.835
1182,6/25/2018 23:30,25.125
1183,6/26/2018 0:00,24.931
1184,6/26/2018 0:30,24.835
1185,6/26/2018 1:00,24.641
1186,6/26/2018 1:30,24.641
1187,6/26/2018 2:00,24.545
1188,6/26/2018 2:30,24.641
1189,6/26/2018 3:00,24.738
1190,6/26/2018 3:30,24.738
1191,6/26/2018 4:00,24.738
1192,6/26/2018 4:30,24.738
1193,6/26/2018 5:00,24.641
1194,6/26/2018 5:30,24.641
1195,6/26/2018 6:00,24.545
1196,6/26/2018 6:30,24.545
1197,6/26/2018 7:00,24.545
1198,6/26/2018 7:30,24.351
1199,6/26/2018 8:00,24.351
1200,6/26/2018 8:30,24.255
1201,6/26/2018 9:00,24.062
1202,6/26/2018 9:30,23.966
1203,6/26/2018 10:00,24.062
1204,6/26/2018 10:30,24.158
1205,6/26/2018 11:00,23.966
1206,6/26/2018 11:30,24.255
1207,6/26/2018 12:00,24.062
1208,6/26/2018 12:30,24.158
1209,6/26/2018 13:00,24.255
1210,6/26/2018 13:30,24.448
1211,6/26/2018 14:00,24.351
1212,6/26/2018 14:30,24.545
1213,6/26/2018 15:00,24.931
1214,6/26/2018 15:30,24.738
1215,6/26/2018 16:00,24.738
1216,6/26/2018 16:30,24.738
1217,6/26/2018 17:00,24.738
1218,6/26/2018 17:30,25.125
1219,6/26/2018 18:00,25.125
1220,6/26/2018 18:30,25.61
1221,6/26/2018 19:00,25.416
1222,6/26/2018 19:30,25.416
1223,6/26/2018 20:00,25.028
1224,6/26/2018 20:30,24.931
1225,6/26/2018 21:00,24.738
1226,6/26/2018 21:30,25.125
1227,6/26/2018 22:00,24.931
1228,6/26/2018 22:30,25.125
1229,6/26/2018 23:00,25.125
1230,6/26/2018 23:30,25.028
1231,6/27/2018 0:00,24.835
1232,6/27/2018 0:30,24.545
1233,6/27/2018 1:00,24.448
1234,6/27/2018 1:30,24.351
1235,6/27/2018 2:00,24.351
1236,6/27/2018 2:30,24.448
1237,6/27/2018 3:00,24.641
1238,6/27/2018 3:30,24.738
1239,6/27/2018 4:00,24.641
1240,6/27/2018 4:30,24.641
1241,6/27/2018 5:00,24.641
1242,6/27/2018 5:30,24.641
1243,6/27/2018 6:00,24.641
1244,6/27/2018 6:30,24.641
1245,6/27/2018 7:00,24.545
1246,6/27/2018 7:30,24.545
1247,6/27/2018 8:00,24.062
1248,6/27/2018 8:30,23.869
1249,6/27/2018 9:00,24.351
1250,6/27/2018 9:30,24.062
1251,6/27/2018 10:00,23.869
1252,6/27/2018 10:30,24.158
1253,6/27/2018 11:00,24.062
1254,6/27/2018 11:30,24.158
1255,6/27/2018 12:00,24.158
1256,6/27/2018 12:30,24.158
1257,6/27/2018 13:00,24.062
1258,6/27/2018 13:30,24.255
1259,6/27/2018 14:00,24.448
1260,6/27/2018 14:30,24.545
1261,6/27/2018 15:00,24.835
1262,6/27/2018 15:30,24.738
1263,6/27/2018 16:00,24.931
1264,6/27/2018 16:30,25.028
1265,6/27/2018 17:00,25.125
1266,6/27/2018 17:30,25.416
1267,6/27/2018 18:00,25.416
1268,6/27/2018 18:30,25.319
1269,6/27/2018 19:00,25.028
1270,6/27/2018 19:30,24.931
1271,6/27/2018 20:00,24.931
1272,6/27/2018 20:30,24.738
1273,6/27/2018 21:00,24.738
1274,6/27/2018 21:30,25.222
1275,6/27/2018 22:00,25.416
1276,6/27/2018 22:30,25.222
1277,6/27/2018 23:00,24.738
1278,6/27/2018 23:30,24.448
1279,6/28/2018 0:00,24.448
1280,6/28/2018 0:30,24.351
1281,6/28/2018 1:00,24.351
1282,6/28/2018 1:30,24.351
1283,6/28/2018 2:00,24.351
1284,6/28/2018 2:30,24.351
1285,6/28/2018 3:00,24.448
1286,6/28/2018 3:30,24.351
1287,6/28/2018 4:00,24.351
1288,6/28/2018 4:30,24.255
1289,6/28/2018 5:00,24.255
1290,6/28/2018 5:30,24.448
1291,6/28/2018 6:00,24.448
1292,6/28/2018 6:30,24.448
1293,6/28/2018 7:00,24.448
1294,6/28/2018 7:30,24.545
1295,6/28/2018 8:00,24.545
1296,6/28/2018 8:30,24.545
1297,6/28/2018 9:00,24.448
1298,6/28/2018 9:30,24.448
1299,6/28/2018 10:00,24.448
1300,6/28/2018 10:30,24.448
1301,6/28/2018 11:00,24.351
1302,6/28/2018 11:30,24.448
1303,6/28/2018 12:00,24.255
1304,6/28/2018 12:30,24.545
1305,6/28/2018 13:00,24.448
1306,6/28/2018 13:30,24.931
1307,6/28/2018 14:00,24.835
1308,6/28/2018 14:30,24.835
1309,6/28/2018 15:00,25.028
1310,6/28/2018 15:30,24.931
1311,6/28/2018 16:00,24.931
1312,6/28/2018 16:30,25.125
1313,6/28/2018 17:00,25.028
1314,6/28/2018 17:30,25.125
1315,6/28/2018 18:00,25.125
1316,6/28/2018 18:30,25.319
1317,6/28/2018 19:00,25.513
1318,6/28/2018 19:30,25.61
1319,6/28/2018 20:00,25.902
1320,6/28/2018 20:30,26.097
1321,6/28/2018 21:00,26.195
1322,6/28/2018 21:30,25.902
1323,6/28/2018 22:00,25.61
1324,6/28/2018 22:30,25.416
1325,6/28/2018 23:00,25.513
1326,6/28/2018 23:30,25.513
1327,6/29/2018 0:00,25.416
1328,6/29/2018 0:30,25.513
1329,6/29/2018 1:00,25.513
1330,6/29/2018 1:30,25.513
1331,6/29/2018 2:00,25.513
1332,6/29/2018 2:30,25.416
1333,6/29/2018 3:00,25.416
1334,6/29/2018 3:30,25.319
1335,6/29/2018 4:00,25.319
1336,6/29/2018 4:30,25.319
1337,6/29/2018 5:00,25.319
1338,6/29/2018 5:30,25.319
1339,6/29/2018 6:00,25.319
1340,6/29/2018 6:30,25.222
1341,6/29/2018 7:00,25.319
1342,6/29/2018 7:30,25.319
1343,6/29/2018 8:00,25.319
1344,6/29/2018 8:30,25.222
1345,6/29/2018 9:00,25.222
1346,6/29/2018 9:30,25.125
1347,6/29/2018 10:00,25.222
1348,6/29/2018 10:30,25.222
1349,6/29/2018 11:00,25.125
1350,6/29/2018 11:30,25.125
1351,6/29/2018 12:00,25.319
1352,6/29/2018 12:30,25.416
1353,6/29/2018 13:00,25.416
1354,6/29/2018 13:30,25.513
1355,6/29/2018 14:00,25.416
1356,6/29/2018 14:30,25.319
1357,6/29/2018 15:00,25.805
1358,6/29/2018 15:30,25.708
1359,6/29/2018 16:00,25.416
1360,6/29/2018 16:30,25.708
1361,6/29/2018 17:00,25.708
1362,6/29/2018 17:30,25.708
1363,6/29/2018 18:00,25.708
1364,6/29/2018 18:30,25.708
1365,6/29/2018 19:00,26.195
1366,6/29/2018 19:30,26.195
1367,6/29/2018 20:00,26.097
1368,6/29/2018 20:30,26.39
1369,6/29/2018 21:00,26.39
1370,6/29/2018 21:30,26.683
1371,6/29/2018 22:00,26.292
1372,6/29/2018 22:30,25.902
1373,6/29/2018 23:00,25.708
1374,6/29/2018 23:30,25.61
1375,6/30/2018 0:00,25.61
1376,6/30/2018 0:30,25.513
1377,6/30/2018 1:00,25.513
1378,6/30/2018 1:30,25.513
1379,6/30/2018 2:00,25.513
1380,6/30/2018 2:30,25.513
1381,6/30/2018 3:00,25.513
1382,6/30/2018 3:30,25.61
1383,6/30/2018 4:00,25.61
1384,6/30/2018 4:30,25.708
1385,6/30/2018 5:00,25.805
1386,6/30/2018 5:30,25.902
1387,6/30/2018 6:00,25.708
1388,6/30/2018 6:30,25.805
1389,6/30/2018 7:00,25.708
1390,6/30/2018 7:30,25.61
1391,6/30/2018 8:00,25.61
1392,6/30/2018 8:30,25.513
1393,6/30/2018 9:00,25.513
1394,6/30/2018 9:30,25.513
1395,6/30/2018 10:00,25.416
1396,6/30/2018 10:30,25.61
1397,6/30/2018 11:00,25.708
1398,6/30/2018 11:30,25.805
1399,6/30/2018 12:00,25.61
1400,6/30/2018 12:30,25.708
1401,6/30/2018 13:00,25.61
1402,6/30/2018 13:30,25.805
1403,6/30/2018 14:00,25.805
1404,6/30/2018 14:30,25.61
1405,6/30/2018 15:00,26
1406,6/30/2018 15:30,26
1407,6/30/2018 16:00,25.902
1408,6/30/2018 16:30,26
1409,6/30/2018 17:00,25.902
1410,6/30/2018 17:30,26.292
1411,6/30/2018 18:00,26
1412,6/30/2018 18:30,26.879
1413,6/30/2018 19:00,26.488
1414,6/30/2018 19:30,26.879
1415,6/30/2018 20:00,26.488
1416,6/30/2018 20:30,26.879
1417,6/30/2018 21:00,26.585
1418,6/30/2018 21:30,26.781
1419,6/30/2018 22:00,27.173
1420,6/30/2018 22:30,27.173
1421,6/30/2018 23:00,26.977
1422,6/30/2018 23:30,26.977
1423,7/1/2018 0:00,26.879
1424,7/1/2018 0:30,26.781
1425,7/1/2018 1:00,26.683
1426,7/1/2018 1:30,26.683
1427,7/1/2018 2:00,26.683
1428,7/1/2018 2:30,26.683
1429,7/1/2018 3:00,26.683
1430,7/1/2018 3:30,26.585
1431,7/1/2018 4:00,26.585
1432,7/1/2018 4:30,26.585
1433,7/1/2018 5:00,26.585
1434,7/1/2018 5:30,26.585
1435,7/1/2018 6:00,26.585
1436,7/1/2018 6:30,26.585
1437,7/1/2018 7:00,26.585
1438,7/1/2018 7:30,26.585
1439,7/1/2018 8:00,26.585
1440,7/1/2018 8:30,26.488
1441,7/1/2018 9:00,26.488
1442,7/1/2018 9:30,26.488
1443,7/1/2018 10:00,26.585
1444,7/1/2018 10:30,25.902
1445,7/1/2018 11:00,26.39
1446,7/1/2018 11:30,26.585
1447,7/1/2018 12:00,26.097
1448,7/1/2018 12:30,26.195
1449,7/1/2018 13:00,26.195
1450,7/1/2018 13:30,26.097
1451,7/1/2018 14:00,26.39
1452,7/1/2018 14:30,26.488
1453,7/1/2018 15:00,26.488
1454,7/1/2018 15:30,27.075
1455,7/1/2018 16:00,26.977
1456,7/1/2018 16:30,27.173
1457,7/1/2018 17:00,27.173
1458,7/1/2018 17:30,27.173
1459,7/1/2018 18:00,26.879
1460,7/1/2018 18:30,26.781
1461,7/1/2018 19:00,27.173
1462,7/1/2018 19:30,26.879
1463,7/1/2018 20:00,26.585
1464,7/1/2018 20:30,26.977
1465,7/1/2018 21:00,27.075
1466,7/1/2018 21:30,27.075
1467,7/1/2018 22:00,26.781
1468,7/1/2018 22:30,26.488
1469,7/1/2018 23:00,26.39
1470,7/1/2018 23:30,26.292
1471,7/2/2018 0:00,26.488
1472,7/2/2018 0:30,26.585
1473,7/2/2018 1:00,26.292
1474,7/2/2018 1:30,26.195
1475,7/2/2018 2:00,26.195
1476,7/2/2018 2:30,26.683
1477,7/2/2018 3:00,26.39
1478,7/2/2018 3:30,26.39
1479,7/2/2018 4:00,26.097
1480,7/2/2018 4:30,26.195
1481,7/2/2018 5:00,26.195
1482,7/2/2018 5:30,26.292
1483,7/2/2018 6:00,26.195
1484,7/2/2018 6:30,26.195
1485,7/2/2018 7:00,26.195
1486,7/2/2018 7:30,26.195
1487,7/2/2018 8:00,26
1488,7/2/2018 8:30,25.902
1489,7/2/2018 9:00,25.902
1490,7/2/2018 9:30,26
1491,7/2/2018 10:00,26
1492,7/2/2018 10:30,26.195
1493,7/2/2018 11:00,26.195
1494,7/2/2018 11:30,26.292
1495,7/2/2018 12:00,26.292
1496,7/2/2018 12:30,26.195
1497,7/2/2018 13:00,26.39
1498,7/2/2018 13:30,26.39
1499,7/2/2018 14:00,26.585
1500,7/2/2018 14:30,26.683
1501,7/2/2018 15:00,26.781
1502,7/2/2018 15:30,26.977
1503,7/2/2018 16:00,26.879
1504,7/2/2018 16:30,26.488
1505,7/2/2018 17:00,26.488
1506,7/2/2018 17:30,26.195
1507,7/2/2018 18:00,26.292
1508,7/2/2018 18:30,26.781
1509,7/2/2018 19:00,26.879
1510,7/2/2018 19:30,26.781
1511,7/2/2018 20:00,26.585
1512,7/2/2018 20:30,26.683
1513,7/2/2018 21:00,27.075
1514,7/2/2018 21:30,27.173
1515,7/2/2018 22:00,27.173
1516,7/2/2018 22:30,27.173
1517,7/2/2018 23:00,27.075
1518,7/2/2018 23:30,26.977
1519,7/3/2018 0:00,26.977
1520,7/3/2018 0:30,26.977
1521,7/3/2018 1:00,26.977
1522,7/3/2018 1:30,26.879
1523,7/3/2018 2:00,26.879
1524,7/3/2018 2:30,26.879
1525,7/3/2018 3:00,26.781
1526,7/3/2018 3:30,26.781
1527,7/3/2018 4:00,26.781
1528,7/3/2018 4:30,26.781
1529,7/3/2018 5:00,26.683
1530,7/3/2018 5:30,26.683
1531,7/3/2018 6:00,26.683
1532,7/3/2018 6:30,26.683
1533,7/3/2018 7:00,26.683
1534,7/3/2018 7:30,26.683
1535,7/3/2018 8:00,26.683
1536,7/3/2018 8:30,26.585
1537,7/3/2018 9:00,26.585
1538,7/3/2018 9:30,26.585
1539,7/3/2018 10:00,26.585
1540,7/3/2018 10:30,26.683
1541,7/3/2018 11:00,26.781
1542,7/3/2018 11:30,26.879
1543,7/3/2018 12:00,26.977
1544,7/3/2018 12:30,26.781
1545,7/3/2018 13:00,27.075
1551,7/3/2018 16:00,27.468
1552,7/3/2018 16:30,27.272
1553,7/3/2018 17:00,27.075
1554,7/3/2018 17:30,27.075
1555,7/3/2018 18:00,27.272
1556,7/3/2018 18:30,27.173
1557,7/3/2018 19:00,27.075
1558,7/3/2018 19:30,27.272
1559,7/3/2018 20:00,26.977
1560,7/3/2018 20:30,27.272
1561,7/3/2018 21:00,27.567
1562,7/3/2018 21:30,27.764
1563,7/3/2018 22:00,28.06
1564,7/3/2018 22:30,27.961
1565,7/3/2018 23:00,27.665
1566,7/3/2018 23:30,27.468
1567,7/4/2018 0:00,27.468
1568,7/4/2018 0:30,27.468
1569,7/4/2018 1:00,27.468
1570,7/4/2018 1:30,27.468
1571,7/4/2018 2:00,27.468
1572,7/4/2018 2:30,27.37
1573,7/4/2018 3:00,27.37
1574,7/4/2018 3:30,27.37
1575,7/4/2018 4:00,27.37
1576,7/4/2018 4:30,27.37
1577,7/4/2018 5:00,27.37
1578,7/4/2018 5:30,27.37
1579,7/4/2018 6:00,27.37
1580,7/4/2018 6:30,27.37
1581,7/4/2018 7:00,27.272
1582,7/4/2018 7:30,27.272
1583,7/4/2018 8:00,27.272
1584,7/4/2018 8:30,27.272
1585,7/4/2018 9:00,27.272
1586,7/4/2018 9:30,27.272
1587,7/4/2018 10:00,27.272
1588,7/4/2018 10:30,27.272
1589,7/4/2018 11:00,27.272
1590,7/4/2018 11:30,27.37
1591,7/4/2018 12:00,27.37
1592,7/4/2018 12:30,27.468
1593,7/4/2018 13:00,27.37
1594,7/4/2018 13:30,27.567
1595,7/4/2018 14:00,27.665
1596,7/4/2018 14:30,27.665
1597,7/4/2018 15:00,27.764
1598,7/4/2018 15:30,27.862
1599,7/4/2018 16:00,27.665
1600,7/4/2018 16:30,27.665
1601,7/4/2018 17:00,27.665
1602,7/4/2018 17:30,28.258
1603,7/4/2018 18:00,28.06
1604,7/4/2018 18:30,27.665
1605,7/4/2018 19:00,28.159
1606,7/4/2018 19:30,27.567
1607,7/4/2018 20:00,27.764
1608,7/4/2018 20:30,27.173
1609,7/4/2018 21:00,27.272
1610,7/4/2018 21:30,27.961
1611,7/4/2018 22:00,28.06
1612,7/4/2018 22:30,28.06
1613,7/4/2018 23:00,27.764
1614,7/4/2018 23:30,27.862
1615,7/5/2018 0:00,27.567
1616,7/5/2018 0:30,27.764
1617,7/5/2018 1:00,27.567
1618,7/5/2018 1:30,27.37
1619,7/5/2018 2:00,27.468
1620,7/5/2018 2:30,27.468
1621,7/5/2018 3:00,27.468
1622,7/5/2018 3:30,27.468
1623,7/5/2018 4:00,27.468
1624,7/5/2018 4:30,27.468
1625,7/5/2018 5:00,27.37
1626,7/5/2018 5:30,27.468
1627,7/5/2018 6:00,27.468
1628,7/5/2018 6:30,27.37
1629,7/5/2018 7:00,27.272
1630,7/5/2018 7:30,27.272
1631,7/5/2018 8:00,27.173
1632,7/5/2018 8:30,27.173
1633,7/5/2018 9:00,27.173
1634,7/5/2018 9:30,27.173
1635,7/5/2018 10:00,27.173
1636,7/5/2018 10:30,27.272
1637,7/5/2018 11:00,27.272
1638,7/5/2018 11:30,27.272
1639,7/5/2018 12:00,27.37
1640,7/5/2018 12:30,27.468
1641,7/5/2018 13:00,27.468
1642,7/5/2018 13:30,27.567
1643,7/5/2018 14:00,27.665
1644,7/5/2018 14:30,27.961
1645,7/5/2018 15:00,28.06
1646,7/5/2018 15:30,27.961
1647,7/5/2018 16:00,27.764
1648,7/5/2018 16:30,27.862
1649,7/5/2018 17:00,27.961
1650,7/5/2018 17:30,28.159
1651,7/5/2018 18:00,28.06
1652,7/5/2018 18:30,28.159
1653,7/5/2018 19:00,28.258
1654,7/5/2018 19:30,28.06
1655,7/5/2018 20:00,27.764
1656,7/5/2018 20:30,28.06
1657,7/5/2018 21:00,27.862
1658,7/5/2018 21:30,27.764
1659,7/5/2018 22:00,27.862
1660,7/5/2018 22:30,27.764
1661,7/5/2018 23:00,27.862
1662,7/5/2018 23:30,27.764
1663,7/6/2018 0:00,27.764
1664,7/6/2018 0:30,27.567
1665,7/6/2018 1:00,27.665
1666,7/6/2018 1:30,27.567
1667,7/6/2018 2:00,27.567
1668,7/6/2018 2:30,27.567
1669,7/6/2018 3:00,27.567
1670,7/6/2018 3:30,27.567
1671,7/6/2018 4:00,27.567
1672,7/6/2018 4:30,27.468
1673,7/6/2018 5:00,27.468
1674,7/6/2018 5:30,27.468
1675,7/6/2018 6:00,27.468
